origin,destination,flow,time
BLR.1_1,BLR.3_1,67236.0,0
BLR.1_1,BLR.5_1,54902.0,0
BLR.1_1,BLR.2_1,6960.0,0
BLR.1_1,BLR.4_1,3621.0,0
BLR.1_1,BLR.6_1,3140.0,0
BLR.2_1,BLR.4_1,68544.0,0
BLR.2_1,BLR.5_1,55871.0,0
BLR.2_1,BLR.1_1,7116.0,0
BLR.2_1,BLR.6_1,4163.0,0
BLR.2_1,BLR.3_1,2788.0,0
BLR.3_1,BLR.1_1,64147.0,0
BLR.3_1,BLR.5_1,28434.0,0
BLR.3_1,BLR.6_1,3088.0,0
BLR.3_1,BLR.2_1,2699.0,0
BLR.3_1,BLR.4_1,1419.0,0
BLR.4_1,BLR.2_1,65464.0,0
BLR.4_1,BLR.5_1,28307.0,0
BLR.4_1,BLR.6_1,3054.0,0
BLR.4_1,BLR.3_1,1976.0,0
BLR.4_1,BLR.1_1,2060.0,0
BLR.5_1,BLR.3_1,123402.0,0
BLR.5_1,BLR.6_1,87210.0,0
BLR.5_1,BLR.4_1,52961.0,0
BLR.5_1,BLR.2_1,50770.0,0
BLR.5_1,BLR.1_1,35354.0,0
BLR.6_1,BLR.5_1,96843.0,0
BLR.6_1,BLR.4_1,5556.0,0
BLR.6_1,BLR.3_1,3812.0,0
BLR.6_1,BLR.2_1,3675.0,0
BLR.6_1,BLR.1_1,2655.0,0
BLR.1_1,BLR.1_1,1222734.026684466,0
BLR.2_1,BLR.2_1,1246341.984328503,0
BLR.3_1,BLR.3_1,898088.1175201852,0
BLR.4_1,BLR.4_1,907753.606951653,0
BLR.5_1,BLR.5_1,3147279.3021903033,0
BLR.6_1,BLR.6_1,1012871.260945872,0
